season,week,game_id,platform,owner_id_home,owner_id_away,score_home,score_away,winner_owner_id,is_playoffs
2022,11,fleaflicker:2022:311194:11:51627317,fleaflicker,owner_kyle,owner_cliff,78.5,97.04,owner_cliff,False
2022,11,fleaflicker:2022:311194:11:51627322,fleaflicker,owner_john,owner_jeff,69.16,103.62,owner_jeff,False
2022,11,fleaflicker:2022:311194:11:51627321,fleaflicker,ben_mccoy,owner_chris_d,83.68,75.0,ben_mccoy,False
2022,11,fleaflicker:2022:311194:11:51627320,fleaflicker,owner_chris_c,owner_james,68.9,77.1,owner_james,False
2022,11,fleaflicker:2022:311194:11:51627319,fleaflicker,owner_joe,owner_ryan,80.08,95.5,owner_ryan,False
2022,12,fleaflicker:2022:311194:12:51627326,fleaflicker,owner_james,owner_kyle,121.06,82.34,owner_james,False
2022,12,fleaflicker:2022:311194:12:51627325,fleaflicker,owner_chris_d,owner_grant,76.92,107.58,owner_grant,False
2022,12,fleaflicker:2022:311194:12:51627324,fleaflicker,owner_jeff,owner_joe,83.1,69.32,owner_jeff,False
2022,12,fleaflicker:2022:311194:12:51627323,fleaflicker,owner_cliff,owner_david,59.42,100.74,owner_david,False
2022,12,fleaflicker:2022:311194:12:51627328,fleaflicker,ben_mccoy,owner_ryan,86.62,99.6,owner_ryan,False
2022,12,fleaflicker:2022:311194:12:51627327,fleaflicker,owner_chris_c,owner_john,116.66,126.86,owner_john,False
2022,13,fleaflicker:2022:311194:13:51627333,fleaflicker,ben_mccoy,owner_kyle,83.18,111.54,owner_kyle,False
2022,13,fleaflicker:2022:311194:13:51627332,fleaflicker,owner_chris_c,owner_grant,104.1,79.26,owner_chris_c,False
2022,13,fleaflicker:2022:311194:13:51627331,fleaflicker,owner_james,owner_joe,78.46,62.82,owner_james,False
2022,13,fleaflicker:2022:311194:13:51627330,fleaflicker,owner_chris_d,owner_david,96.1,112.06,owner_david,False
2022,13,fleaflicker:2022:311194:13:51627329,fleaflicker,owner_jeff,owner_cliff,71.62,91.0,owner_cliff,False
2022,13,fleaflicker:2022:311194:13:51627334,fleaflicker,owner_john,owner_ryan,100.34,102.04,owner_ryan,False
2022,14,fleaflicker:2022:311194:14:51627338,fleaflicker,owner_david,owner_jeff,109.82,107.58,owner_david,False
2022,14,fleaflicker:2022:311194:14:51627337,fleaflicker,owner_joe,owner_chris_d,101.48,73.98,owner_joe,False
2022,14,fleaflicker:2022:311194:14:51627336,fleaflicker,owner_grant,owner_james,71.68,72.1,owner_james,False
2022,14,fleaflicker:2022:311194:14:51627335,fleaflicker,owner_kyle,owner_chris_c,53.66,74.18,owner_chris_c,False
2022,14,fleaflicker:2022:311194:14:51627339,fleaflicker,owner_cliff,owner_ryan,89.26,73.66,owner_cliff,False
2022,14,fleaflicker:2022:311194:14:51627340,fleaflicker,owner_john,ben_mccoy,112.6,52.4,owner_john,False
2022,15,fleaflicker:2022:311194:15:52023161,fleaflicker,owner_chris_c,owner_cliff,73.22,90.2,owner_cliff,True
2022,15,fleaflicker:2022:311194:15:52023160,fleaflicker,owner_ryan,ben_mccoy,78.1,106.52,ben_mccoy,True
2022,15,fleaflicker:2022:311194:15:52023163,fleaflicker,owner_grant,owner_james,103.98,83.0,owner_grant,True
2022,15,fleaflicker:2022:311194:15:52023162,fleaflicker,owner_joe,owner_david,128.06,94.72,owner_joe,True
2022,16,fleaflicker:2022:311194:16:52089451,fleaflicker,owner_john,ben_mccoy,87.7,97.9,ben_mccoy,True
2022,16,fleaflicker:2022:311194:16:52089452,fleaflicker,owner_kyle,owner_cliff,81.94,80.86,owner_kyle,True
2022,16,fleaflicker:2022:311194:16:52089453,fleaflicker,owner_jeff,owner_joe,78.46,123.48,owner_joe,True
2022,16,fleaflicker:2022:311194:16:52089454,fleaflicker,owner_chris_d,owner_grant,106.18,99.56,owner_chris_d,True
2022,17,fleaflicker:2022:311194:17:52137319,fleaflicker,owner_kyle,ben_mccoy,92.26,86.36,owner_kyle,True
2022,17,fleaflicker:2022:311194:17:52137320,fleaflicker,owner_john,owner_cliff,92.3,117.28,owner_cliff,True
2022,17,fleaflicker:2022:311194:17:52137321,fleaflicker,owner_chris_d,owner_joe,80.08,88.92,owner_joe,True
2022,17,fleaflicker:2022:311194:17:52137322,fleaflicker,owner_jeff,owner_grant,81.02,76.86,owner_jeff,True
2024,1,fleaflicker:2024:311194:1:54838994,fleaflicker,owner_cliff,owner_jeff,45.94,66.82,owner_jeff,False
2024,1,fleaflicker:2024:311194:1:54838993,fleaflicker,owner_david,owner_james,102.98,53.52,owner_david,False
2024,1,fleaflicker:2024:311194:1:54838992,fleaflicker,owner_joe,owner_chris_c,111.96,85.06,owner_joe,False
2024,1,fleaflicker:2024:311194:1:54838991,fleaflicker,owner_grant,owner_ryan,86.24,128.78,owner_ryan,False
2024,1,fleaflicker:2024:311194:1:54838990,fleaflicker,owner_kyle,ben_mccoy,85.4,86.42,ben_mccoy,False
2024,1,fleaflicker:2024:311194:1:54838995,fleaflicker,owner_chris_d,owner_john,96.96,83.68,owner_chris_d,False
2024,2,fleaflicker:2024:311194:2:54838997,fleaflicker,owner_grant,owner_joe,117.34,74.04,owner_grant,False
2024,2,fleaflicker:2024:311194:2:54838996,fleaflicker,owner_kyle,owner_david,90.58,107.56,owner_david,False
2024,2,fleaflicker:2024:311194:2:54839001,fleaflicker,owner_john,owner_cliff,147.54,62.26,owner_john,False
2024,2,fleaflicker:2024:311194:2:54839000,fleaflicker,ben_mccoy,owner_jeff,97.28,109.92,owner_jeff,False
2024,2,fleaflicker:2024:311194:2:54838998,fleaflicker,owner_chris_c,owner_chris_d,76.1,47.0,owner_chris_c,False
2024,2,fleaflicker:2024:311194:2:54838999,fleaflicker,owner_ryan,owner_james,86.46,71.36,owner_ryan,False
2024,3,fleaflicker:2024:311194:3:54839005,fleaflicker,owner_david,owner_cliff,85.28,99.78,owner_cliff,False
2024,3,fleaflicker:2024:311194:3:54839004,fleaflicker,owner_joe,owner_jeff,100.06,98.64,owner_joe,False
2024,3,fleaflicker:2024:311194:3:54839003,fleaflicker,owner_grant,owner_james,94.78,103.66,owner_james,False
2024,3,fleaflicker:2024:311194:3:54839002,fleaflicker,owner_kyle,owner_chris_c,65.18,99.46,owner_chris_c,False
2024,3,fleaflicker:2024:311194:3:54839007,fleaflicker,owner_john,owner_ryan,60.58,80.22,owner_ryan,False
2024,3,fleaflicker:2024:311194:3:54839006,fleaflicker,owner_chris_d,ben_mccoy,84.4,70.48,owner_chris_d,False
2024,4,fleaflicker:2024:311194:4:54839013,fleaflicker,owner_chris_d,owner_kyle,64.3,93.16,owner_kyle,False
2024,4,fleaflicker:2024:311194:4:54839012,fleaflicker,owner_jeff,owner_james,85.02,108.56,owner_james,False
2024,4,fleaflicker:2024:311194:4:54839011,fleaflicker,owner_cliff,owner_chris_c,69.9,74.88,owner_chris_c,False
2024,4,fleaflicker:2024:311194:4:54839010,fleaflicker,owner_david,owner_ryan,88.38,99.6,owner_ryan,False
2024,4,fleaflicker:2024:311194:4:54839009,fleaflicker,owner_joe,ben_mccoy,116.52,61.44,owner_joe,False
2024,4,fleaflicker:2024:311194:4:54839008,fleaflicker,owner_grant,owner_john,83.9,105.58,owner_john,False
2024,5,fleaflicker:2024:311194:5:54839019,fleaflicker,owner_john,owner_kyle,112.4,90.96,owner_john,False
2024,5,fleaflicker:2024:311194:5:54839018,fleaflicker,ben_mccoy,owner_grant,105.72,83.14,ben_mccoy,False
2024,5,fleaflicker:2024:311194:5:54839017,fleaflicker,owner_ryan,owner_joe,89.24,106.12,owner_joe,False
2024,5,fleaflicker:2024:311194:5:54839016,fleaflicker,owner_chris_c,owner_david,102.18,99.74,owner_chris_c,False
2024,5,fleaflicker:2024:311194:5:54839015,fleaflicker,owner_james,owner_cliff,105.46,97.86,owner_james,False
2024,5,fleaflicker:2024:311194:5:54839014,fleaflicker,owner_jeff,owner_chris_d,103.66,66.84,owner_jeff,False
2024,6,fleaflicker:2024:311194:6:54839020,fleaflicker,owner_kyle,owner_grant,115.12,105.3,owner_kyle,False
